"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",2,2
"2020-10",22,20
"2020-11",91,69
"2020-12",123,32
"2020-13",172,49
"2020-14",236,64
"2020-15",269,33
"2020-16",301,32
"2020-17",322,21
"2020-18",335,13
"2020-19",339,4
"2020-20",341,2
"2020-21",341,0
"2020-22",341,0
"2020-23",342,1
"2020-24",343,1
"2020-25",347,4
"2020-26",347,0
"2020-27",348,1
"2020-28",349,1
"2020-29",351,2
"2020-30",353,2
"2020-31",354,1
"2020-32",358,4
"2020-33",376,18
"2020-34",386,10
"2020-35",408,22
"2020-36",420,12
"2020-37",427,7
"2020-38",442,15
"2020-39",480,38
"2020-40",509,29
"2020-41",553,44
"2020-42",581,28
"2020-43",605,24
"2020-44",662,57
"2020-45",772,110
"2020-46",919,147
