"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",1,1
"2020-09",31,30
"2020-10",249,218
"2020-11",1464,1215
"2020-12",2902,1438
"2020-13",4635,1733
"2020-14",5827,1192
"2020-15",6587,760
"2020-16",7163,576
"2020-17",7587,424
"2020-18",7896,309
"2020-19",8116,220
"2020-20",8237,121
"2020-21",8345,108
"2020-22",8431,86
"2020-23",8545,114
"2020-24",8627,82
"2020-25",8737,110
"2020-26",8848,111
"2020-27",8913,65
"2020-28",8978,65
"2020-29",9031,53
"2020-30",9125,94
"2020-31",9323,198
"2020-32",9693,370
"2020-33",10061,368
"2020-34",10420,359
"2020-35",10796,376
"2020-36",11538,742
"2020-37",12302,764
"2020-38",13019,717
"2020-39",13805,786
"2020-40",14621,816
"2020-41",15678,1057
"2020-42",16620,942
"2020-43",18336,1716
"2020-44",21476,3140
"2020-45",25521,4045
"2020-46",29599,4078
