"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",3,3
"2020-10",19,16
"2020-11",107,88
"2020-12",197,90
"2020-13",305,108
"2020-14",360,55
"2020-15",385,25
"2020-16",404,19
"2020-17",420,16
"2020-18",438,18
"2020-19",455,17
"2020-20",469,14
"2020-21",479,10
"2020-22",496,17
"2020-23",499,3
"2020-24",501,2
"2020-25",502,1
"2020-26",503,1
"2020-27",504,1
"2020-28",508,4
"2020-29",509,1
"2020-30",515,6
"2020-31",521,6
"2020-32",527,6
"2020-33",549,22
"2020-34",555,6
"2020-35",578,23
"2020-36",595,17
"2020-37",605,10
"2020-38",627,22
"2020-39",654,27
"2020-40",705,51
"2020-41",732,27
"2020-42",760,28
"2020-43",899,139
"2020-44",1176,277
"2020-45",1370,194
"2020-46",1480,110
