"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",0,0
"2020-10",2,2
"2020-11",23,21
"2020-12",65,42
"2020-13",106,41
"2020-14",119,13
"2020-15",123,4
"2020-16",125,2
"2020-17",129,4
"2020-18",131,2
"2020-19",136,5
"2020-20",138,2
"2020-21",138,0
"2020-22",150,12
"2020-23",150,0
"2020-24",153,3
"2020-25",153,0
"2020-26",159,6
"2020-27",160,1
"2020-28",160,0
"2020-29",160,0
"2020-30",160,0
"2020-31",161,1
"2020-32",166,5
"2020-33",172,6
"2020-34",178,6
"2020-35",185,7
"2020-36",191,6
"2020-37",195,4
"2020-38",204,9
"2020-39",211,7
"2020-40",271,60
"2020-41",307,36
"2020-42",334,27
"2020-43",382,48
"2020-44",465,83
"2020-45",516,51
"2020-46",550,34
