"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",0,0
"2020-10",3,3
"2020-11",12,9
"2020-12",23,11
"2020-13",50,27
"2020-14",76,26
"2020-15",97,21
"2020-16",110,13
"2020-17",114,4
"2020-18",116,2
"2020-19",116,0
"2020-20",117,1
"2020-21",120,3
"2020-22",120,0
"2020-23",121,1
"2020-24",121,0
"2020-25",124,3
"2020-26",125,1
"2020-27",127,2
"2020-28",129,2
"2020-29",129,0
"2020-30",129,0
"2020-31",131,2
"2020-32",138,7
"2020-33",145,7
"2020-34",176,31
"2020-35",181,5
"2020-36",185,4
"2020-37",197,12
"2020-38",207,10
"2020-39",210,3
"2020-40",217,7
"2020-41",224,7
"2020-42",237,13
"2020-43",271,34
"2020-44",315,44
"2020-45",426,111
"2020-46",473,47
