"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",7,7
"2020-10",46,39
"2020-11",322,276
"2020-12",688,366
"2020-13",1240,552
"2020-14",1665,425
"2020-15",1959,294
"2020-16",2180,221
"2020-17",2339,159
"2020-18",2453,114
"2020-19",2538,85
"2020-20",2570,32
"2020-21",2617,47
"2020-22",2641,24
"2020-23",2724,83
"2020-24",2772,48
"2020-25",2827,55
"2020-26",2864,37
"2020-27",2886,22
"2020-28",2907,21
"2020-29",2931,24
"2020-30",2952,21
"2020-31",3003,51
"2020-32",3123,120
"2020-33",3232,109
"2020-34",3346,114
"2020-35",3468,122
"2020-36",3612,144
"2020-37",3834,222
"2020-38",4117,283
"2020-39",4434,317
"2020-40",4721,287
"2020-41",5080,359
"2020-42",5382,302
"2020-43",5855,473
"2020-44",6668,813
"2020-45",7648,980
"2020-46",8808,1160
