"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",2,2
"2020-10",31,29
"2020-11",171,140
"2020-12",276,105
"2020-13",348,72
"2020-14",378,30
"2020-15",387,9
"2020-16",393,6
"2020-17",421,28
"2020-18",433,12
"2020-19",435,2
"2020-20",436,1
"2020-21",436,0
"2020-22",437,1
"2020-23",440,3
"2020-24",441,1
"2020-25",442,1
"2020-26",443,1
"2020-27",444,1
"2020-28",448,4
"2020-29",451,3
"2020-30",457,6
"2020-31",472,15
"2020-32",489,17
"2020-33",508,19
"2020-34",522,14
"2020-35",533,11
"2020-36",561,28
"2020-37",586,25
"2020-38",628,42
"2020-39",698,70
"2020-40",744,46
"2020-41",796,52
"2020-42",835,39
"2020-43",923,88
"2020-44",1092,169
"2020-45",1233,141
"2020-46",1395,162
