"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",1,1
"2020-09",1,0
"2020-10",6,5
"2020-11",27,21
"2020-12",74,47
"2020-13",157,83
"2020-14",185,28
"2020-15",201,16
"2020-16",227,26
"2020-17",235,8
"2020-18",248,13
"2020-19",252,4
"2020-20",253,1
"2020-21",253,0
"2020-22",253,0
"2020-23",253,0
"2020-24",254,1
"2020-25",255,1
"2020-26",255,0
"2020-27",255,0
"2020-28",257,2
"2020-29",258,1
"2020-30",258,0
"2020-31",291,33
"2020-32",300,9
"2020-33",317,17
"2020-34",320,3
"2020-35",323,3
"2020-36",327,4
"2020-37",333,6
"2020-38",335,2
"2020-39",339,4
"2020-40",349,10
"2020-41",396,47
"2020-42",434,38
"2020-43",483,49
"2020-44",571,88
"2020-45",697,126
"2020-46",773,76
