"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",0,0
"2020-10",23,23
"2020-11",87,64
"2020-12",191,104
"2020-13",313,122
"2020-14",367,54
"2020-15",397,30
"2020-16",416,19
"2020-17",465,49
"2020-18",498,33
"2020-19",516,18
"2020-20",528,12
"2020-21",530,2
"2020-22",533,3
"2020-23",533,0
"2020-24",533,0
"2020-25",535,2
"2020-26",537,2
"2020-27",538,1
"2020-28",539,1
"2020-29",545,6
"2020-30",551,6
"2020-31",557,6
"2020-32",581,24
"2020-33",601,20
"2020-34",621,20
"2020-35",626,5
"2020-36",633,7
"2020-37",646,13
"2020-38",660,14
"2020-39",674,14
"2020-40",703,29
"2020-41",735,32
"2020-42",785,50
"2020-43",838,53
"2020-44",924,86
"2020-45",1047,123
"2020-46",1131,84
