"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",0,0
"2020-10",7,7
"2020-11",72,65
"2020-12",114,42
"2020-13",176,62
"2020-14",229,53
"2020-15",248,19
"2020-16",261,13
"2020-17",269,8
"2020-18",273,4
"2020-19",276,3
"2020-20",280,4
"2020-21",284,4
"2020-22",285,1
"2020-23",288,3
"2020-24",289,1
"2020-25",294,5
"2020-26",294,0
"2020-27",296,2
"2020-28",299,3
"2020-29",299,0
"2020-30",303,4
"2020-31",312,9
"2020-32",327,15
"2020-33",343,16
"2020-34",351,8
"2020-35",360,9
"2020-36",370,10
"2020-37",384,14
"2020-38",398,14
"2020-39",418,20
"2020-40",449,31
"2020-41",489,40
"2020-42",520,31
"2020-43",562,42
"2020-44",657,95
"2020-45",804,147
"2020-46",979,175
