"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",10,10
"2020-10",31,21
"2020-11",151,120
"2020-12",313,162
"2020-13",482,169
"2020-14",588,106
"2020-15",713,125
"2020-16",805,92
"2020-17",842,37
"2020-18",870,28
"2020-19",876,6
"2020-20",877,1
"2020-21",880,3
"2020-22",880,0
"2020-23",883,3
"2020-24",885,2
"2020-25",887,2
"2020-26",891,4
"2020-27",894,3
"2020-28",896,2
"2020-29",899,3
"2020-30",903,4
"2020-31",931,28
"2020-32",945,14
"2020-33",968,23
"2020-34",1038,70
"2020-35",1119,81
"2020-36",1289,170
"2020-37",1546,257
"2020-38",1689,143
"2020-39",1823,134
"2020-40",1950,127
"2020-41",2108,158
"2020-42",2255,147
"2020-43",2571,316
"2020-44",3047,476
"2020-45",3773,726
"2020-46",4521,748
