"Dato","Kumulativt antall","Nye tilfeller"
"2020-08",0,0
"2020-09",6,6
"2020-10",59,53
"2020-11",401,342
"2020-12",838,437
"2020-13",1286,448
"2020-14",1624,338
"2020-15",1808,184
"2020-16",1941,133
"2020-17",2031,90
"2020-18",2101,70
"2020-19",2177,76
"2020-20",2228,51
"2020-21",2267,39
"2020-22",2295,28
"2020-23",2312,17
"2020-24",2335,23
"2020-25",2371,36
"2020-26",2430,59
"2020-27",2461,31
"2020-28",2486,25
"2020-29",2499,13
"2020-30",2544,45
"2020-31",2589,45
"2020-32",2738,149
"2020-33",2849,111
"2020-34",2926,77
"2020-35",3014,88
"2020-36",3354,340
"2020-37",3548,194
"2020-38",3711,163
"2020-39",3863,152
"2020-40",4002,139
"2020-41",4250,248
"2020-42",4468,218
"2020-43",4881,413
"2020-44",5771,890
"2020-45",7024,1253
"2020-46",8291,1267
